Alert,Description,Date
Point Supreme Overlook Closure,The Point Supreme Overlook and most of the parking lot are closed to all access. The area will be closed through the 2022 season.,2022-08-15 10:08:03.0
Ancestral Chamber temporarily closed,Several features within the Monument’s outdoor memorial are temporarily closed due to safety concerns. The Ancestral Chamber is showing signs of stress and must be assessed prior to reopening. See https://www.nps.gov/afbg/learn/news/temp-closure-ac.htm,2022-08-12 10:09:42.0
Elevator Unavailable,"Due to repairs, the Hamilton Grange National Memorial elevator will be unavailable until further notice. Please contact hagr_info@nps.gov with questions.",2022-08-07 14:23:40.0
COVID-19 Mask Requirement,"Based on updated CDC guidance regarding local COVID-19 transmission risk in Alcorn and Hardin counties, face masks are currently optional at the Corinth Civil War Interpretive Center and at the Shiloh Visitor Center. This alert will be updated as needed",2022-08-05 09:53:45.0
Phased reopening – COVID-19 Update,We are working to increase access to the park in a phased approach. Masks are REQUIRED in certain areas of the park. Click the link and scroll down to read more.,2022-08-04 09:10:29.0
Current Masking Requirements,"If the CDC COVID-19 Community Level for Beaufort County, SC is ""High"", masks will be required in all park buildings. Please visit the CDC website for current Community Levels",2022-08-01 14:46:35.0
Little Round Top Rehabilitation Project Closure Notice,"The construction contractor closed Little Round Top on Tuesday, July 26. All road closures & detours have gone into effect. Little Round Top will be CLOSED for 18 months.",2022-07-30 16:18:39.0
Use Caution on Roads with Debris,"Flooding has resulted in debris along many roads within the park boundaries. Please use caution when driving on paved roads and watch for road crews at work. Be aware that unimproved and dirt roads may be impassible due to washouts, so plan accordingly.",2022-07-27 16:50:27.0
Turkey Creek Bridge Closed,The iron bridge over Turkey Creek between the Kirby and Sandhill Loop trails is closed for repairs. Kirby and Sandhill are open but not connected at this time. The Turkey Creek Trail is open between FM 1943 and Sandhill Loop.,2022-07-26 10:29:28.0
Use Caution with GPS Navigation,"The new visitor center is located at 17970 US Hwy 30, about one mile north of downtown Hagerman and the old visitor center. Highway signs and GPS navigation may not yet be up-to-date.",2022-07-25 17:16:47.0
Oasis Visitor Center Hours Change,The Oasis Visitor Center is now open Tuesday-Saturday from 9:00am-4:30pm. It will be closed Sunday-Monday. The bathrooms will remain open seven days a week.,2022-07-21 11:58:30.0
Face Masks Are Optional,Face masks are currently optional in all buildings at Minuteman Missile NHS.,2022-07-07 10:16:37.0
Electric Vehicle Charging,"While the campgrounds at Gulf Islands have sites equipped with electricity, our systems do not currently support the charging of electric vehicles.",2022-07-06 09:08:46.0
Caution - Construction Zone,Please use caution and follow signs as you enter the parking lot. Follow signs to reach the historic ranch site. A 10 minute film is inside the barn. Please use caution and be safe.,2022-07-01 14:43:46.0
Covid-19 Response,"Federal guidelines require masks be worn inside the Whitman Mission National Historic Site Visitor Center while the CDCs COVID-19 Community Level tool shows ""High"" in Walla Walla County. Check the tool on Fridays to see updates",2022-07-01 14:26:37.0
Social Trail to Shoreline Closed,"The social trail to the right of the bulkhead at Kingsley Plantation will be closed with a fence starting July 7, 2022. Erosion issues there threaten both the bulkhead structure and safety. Please use the access off the path toward the dock for fishing.",2022-06-30 16:05:20.0
"Tour Road, Visitor Center, and Restrooms are Open",The Visitor Center is open 8:30 am to 4:30 pm daily. The tour road is open from 8 am to 5 pm with last entry at 4:40 pm daily. Restrooms are open. Park grounds are open sunrise to sunset daily.,2022-06-30 07:26:37.0
Restroom Closure on 5th Street,The restroom facility at 5th and Chestnut Streets is closed. Please use the restrooms in the Independence Visitor Center at 6th and Market Streets.,2022-06-27 05:23:16.0
Difficult conditions complicate Cataract Canyon takeouts,"Hite Ramp is closed. The North Wash take-out is a primitive, unimproved dirt take-out. You will not be able to back a trailer down the dirt slope. Recent washouts have further deteriorated conditions.",2022-06-24 12:44:28.0
Appropriate Footwear Required for Cave Tours,"Visitors are required to wear completely enclosed shoes if participating in a cave tour, like tennis shoes, sneakers or hiking boots. Any type of sandals or shoes with any openings are NOT acceptable.",2022-06-22 15:55:00.0
Backcountry Camping & Tall Trees Permits Are Online,Permits for backcountry camping or hiking Tall Trees Grove are not being issued at our visitor centers. These free permits must be applied for online.,2022-06-21 13:13:33.0
Covid Status,"Find out what are the conditions across the Park, campgrounds, and within our visitor centers. Our state and federal response is driven by what is happening in Del Norte and Humboldt Counties. We follow county and state health response guidelines.",2022-06-21 12:55:23.0
Credit Card Only,"Entrance fee and pass purchases will need to be made with a credit or debit card. The monument will not be processing cash transactions. Apple, Google, and Samsung Pay are accepted.",2022-06-20 13:42:16.0
Eastern National Bookstore Remains Closed,The Eastern National Bookstore located at Martin Van Buren NHS remains closed at this time.,2022-06-19 08:20:34.0
Park Store Operations,The WNPA Park Store is open inside the Visitor Contact Station at the historic site outside of Eads. The occupancy limit is 4 people at a time. Masks are optional.,2022-06-18 12:43:39.0
Oxon Hill Cove Park and Oxon Hill Farm Operations Modified as Part of COVID 19 Response,"Oxon Cove Park is open for visitation, including the farm area, Visitor Center and restrooms. Please maintain proper social distance from other visitors and staff. Click MORE for further details. more...",2022-06-17 10:56:33.0
LIVE Virtual Group Tours,"Park Rangers will provide live VIRTUAL tours to organized groups. Please email the Chief of the Interpretation, Marty Smith, at marty_smith@nps.gov to schedule a tour for your group.",2022-06-13 15:00:23.0
Operation Hours Limited,"Most of the park's buildings are opened. COVID-19 protocols are in place in accordance with guidance from the Centers for Disease Control. The park’s operating hours are Monday through Saturday, from 9:00am to 5:00pm.",2022-06-13 14:59:31.0
Temporary Closure - Cutthroat Unit,"Due to physical security concerns related to the access of the Cutthroat Castle Unit, the unit is closed to public access. Cutthroat Castle is a remote unit of Hovenweep and is not connected to the Square Tower Group structures.",2022-06-09 10:53:00.0
Sidewalk scaffolding at Federal Hall,"Protective sidewalk scaffolding has been erected around the building to protect the public from falling materials. Later this year, additional scaffolding will be installed while we conduct an in-depth condition assessment of the building façade.",2022-06-09 10:27:55.0
Extended Fish Cleaning Station Closure,Park fish cleaning stations will remain closed while the NPS researches and tests better alternatives. This closure includes the restroom facility located at the Fort Spokane boat launch.,2022-06-07 11:03:30.0
"Volcano Road Closed to RVs and Buses over 26 feet, and all Trailers.","The Volcano Road is closed to RVs, buses, attached trailers or any other vehicles over 26 feet long due to the narrowness of the road and limited parking space at the volcano top. Trailer parking is available at the Visitor Center.",2022-06-06 10:27:52.0
No Summit Shuttle,"Due to mechanical issues, the Summit Shuttle is not currently available.",2022-06-05 18:38:35.0
Sagamore Hill is Cashless,Cash payments at Sagamore Hill are no longer be accepted as a method of payment for National Parks and Federal Recreational Lands Passes. Credit and Debit Cards are accepted.,2022-06-03 12:35:11.0
COVID-19 Mask Requirement,"Consistent with CDC guidance regarding areas of low and medium transmission, masks are optional inside all park buildings.",2022-06-03 10:37:41.0
COVID-19 Mask Requirement,"Consistent with CDC guidance regarding areas of low and medium transmission, masks are optional inside all park buildings.",2022-06-03 10:35:03.0
Volcano Road open with short single Lane section,There is a 75-yard road segment of Volcano Road that will be one lane on a damaged section. We ask visitors to follow road signs and restrictions on the one lane section.,2022-06-02 17:18:53.0
Magnolia Plantation Detour,"Due to a road closure on Highway 119, Magnolia Plantation can only be reached from the south via Louisiana Highway 1.",2022-06-01 13:20:48.0
"Parking & Shuttle Reservations Always Required - See ""Know Before You Go"" for Details","Reservations are required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com. Visit our ""Know Before You Go"" webpage to learn more important details before your visit.",2022-06-01 11:43:35.0
