Alert,parkCode,Description,Date,Park Name
Wind Cave moves to cashless fee collection,wica,"Payments for cave tours, campground fees, as well as Interagency Passes at Wind Cave National Park, will be by credit/ debit cards or digital payments only. Cash and check payments will no longer be accepted.",2023-02-10 17:18:28.0,Wind Cave National Park
NPS Roads 5 & 6 not maintained in winter,wica,NPS Roads 5 & 6 are open but not maintained in winter and may be impassable at times.,2022-12-19 18:01:14.0,Wind Cave National Park
Park Museum Opening,klgo,"The museum at Klondike Gold Ruah National Historical Park will be open to visitors starting February 27. It will be open. 10-4 Monday-Friday until April 30, when it will go to expanded hours.",2023-02-09 18:42:36.0,Klondike Gold Rush National Historical Park
Chilkoot Trail Remains Closed Due to Extensive Flood Damage,klgo,The Chilkoot Trail remains closed to the public as a result of recent flooding events. Repair work to open the trail will be extensive.,2023-01-12 14:59:22.0,Klondike Gold Rush National Historical Park
Carter G. Woodson Home NHS temporarily closed.,cawo,Carter G. Woodson Home National Historic Site is temporarily closed due to a full renovation project. The anticipated reopening is scheduled for late Fall 2023. Please continue to visit the website for future updates.,2023-02-08 12:40:40.0,Carter G. Woodson Home National Historic Site
Be Aware of Illegal Traffic,coro,Smuggling and/or illegal entry is common in this area due to the proximity of the international border. Please be aware of your surroundings at all times and do not travel alone in remote areas.,2023-02-08 11:01:39.0,Coronado National Memorial
Montezuma Canyon Road to Montezuma Pass,coro,The two miles of dirt road beyond the visitor center and up to Montezuma Pass is extremely rough. Currently vehicles without high clearance should not attempt the drive. Four-wheel drive is also recommended when the road is wet.,2022-12-16 17:47:41.0,Coronado National Memorial
COVID-19 Masking Advisory,coro,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-29 16:26:37.0,Coronado National Memorial
Summit Road Winter Status,scbl,"Due to dangerous conditions caused by snow and ice, the Summit Road is often closed during the winter season. For the latest on the status of the road, please contact the visitor center at 308-436-9700.",2023-02-07 10:40:58.0,Scotts Bluff National Monument
No Summit Shuttle,scbl,"Due to mechanical issues, the Summit Shuttle is not currently available.",2022-06-05 18:38:35.0,Scotts Bluff National Monument
"The Oaks, Home of Booker T. Washington is currently closed",tuin,"The Oaks, Home of Booker T. Washington is currently closed as it undergoes rehabilitation work. The grounds are open from sunup to sundown daily.",2023-02-04 11:17:32.0,Tuskegee Institute National Historic Site
The George Washington Carver Museum open Thursday and Friday,tuin,The George Washington Carver Museum will undergo rehabilitation work beginning in 2023. The museum is currently open to visitors Thursday and Friday from 9:00-4:30cst.,2023-02-04 11:17:17.0,Tuskegee Institute National Historic Site
Echo and Hole in the Wall now open- Roadside camping permit required,deva,A free permit is now required to camp along these roads. No permit is required for day use. Click below for more information.,2023-02-03 21:33:45.0,Death Valley National Park
Winter Closures,deva,"The access road to Telescope Peak trailhead is closed beyond the Charcoal Kilns, due to snowy conditions. Many other roads remain closed due to damage and debris from major flooding this summer. Click 'more' for a map and detailed information.",2022-11-30 19:15:18.0,Death Valley National Park
Frederick Douglass NHS is Closed,frdo,"Beginning March 1, 2022, the Frederick Douglass NHS is closed to the public for renovations until late Spring 2023. For future announcements and virtual programming, please visit the webpage and follow the park on social media.",2023-02-03 14:00:09.0,Frederick Douglass National Historic Site
Mask Mandate,frdo,"In areas of substantial or high community transmission, agencies must require all Federal employees, onsite contractors, and visitors, regardless of vaccination status, to wear a mask inside of Federal buildings.",2021-08-04 14:21:51.0,Frederick Douglass National Historic Site
Delassus-Kern House and Property Closed,stge,"Due to hazardous conditions, the Delassus-Kern House and surrounding property are closed indefinitely.",2023-02-03 10:51:10.0,Ste. Geneviève National Historical Park
Bauvais-Amoureux House Closed,stge,The Bauvais-Amoureux House is currently closed for a roofing project.,2022-12-15 10:54:10.0,Ste. Geneviève National Historical Park
Park contact stations (visitor centers and ranger stations) closed in winter,wrst,The park's public lands are always open but visitor facilities have limited seasons: Closed in winter between October and April. Call (907) 822-5234 or email wrst_info@nps.gov for park information.,2023-01-31 18:32:49.0,Wrangell - St Elias National Park & Preserve
Masks are Optional in Wolf Trap National Park for the Performing Arts Facilities,wotr,"Consistent with CDC guidance regarding COVID-19 Community Levels (Fairfax County is currently low), the wearing of masks in Wolf Trap National Park for the Performing Arts grounds and facilities is optional.",2023-01-31 10:08:40.0,Wolf Trap National Park for the Performing Arts
Lot 3 and Sidewalk Area Closure,wotr,"Due to ongoing construction projects, parking Lot 3 and upper sidewalk area leading from Ovations Pavilion to Filene Center Dinner Gate will be closed to the public until further notice.",2023-01-31 10:05:32.0,Wolf Trap National Park for the Performing Arts
Winter 2023 Operating Hours for Visitor Center and Museum,cane,"The Visitor Center and Museum is open 5-days (Wednesday-Sunday). Operating hours are 9:00 am to 5:00 pm. The grounds (including all trails) at Camp Nelson National Monument are open 7-days a week, sunrise to sunset.",2023-01-29 15:43:43.0,Camp Nelson National Monument
COVID-19 Update: Masks Optional,bith,"The park is open, including the visitor center, trails, waterways, and day-use areas. Masks are optional. See COVID-19 status page for more info.",2023-01-28 11:23:40.0,Big Thicket National Preserve
Turkey Creek Bridge Closed,bith,The iron bridge over Turkey Creek between the Kirby and Sandhill Loop trails is closed for repairs. Kirby and Sandhill are open but not connected at this time. The Turkey Creek Trail is open between FM 1943 and Sandhill Loop.,2022-07-26 10:29:28.0,Big Thicket National Preserve
Road work throughout park in summer 2023,chic,Road work will be occurring throughout the park during the 2023 summer season. Please check back for additional information as it becomes available.,2023-01-28 10:34:36.0,Chickasaw National Recreation Area
"The Point Campground to close for road work Sept. 5, 2023 to Nov. 30, 2023",chic,"The Point Campground will close for road work on September 5, 2023. Work is expected to take until the end of November. If work is completed early, the campground will reopen at that time.",2023-01-28 10:31:09.0,Chickasaw National Recreation Area
Antietam Battlefield Visitor Center Partially Closed,anti,"The park is operating out of a temporary visitor center while the permanent one undergoes rehabilitation. We expect to complete the project Summer 2023. Restrooms, exhibits and the park store are open daily from 9a -5p.",2023-01-28 09:53:42.0,Antietam National Battlefield
Trail Damage,samo,"Due to recent widespread rain and flood conditions, please be aware that some trails have been heavily damaged and are not accessible. Exercise caution and plan ahead!",2023-01-25 17:55:32.0,Santa Monica Mountains National Recreation Area
Construction alert for Cheeseboro Canyon,samo,"A trailhead improvement project (Sept. 19, 2022 - early summer 2023) will close the entire area around the regular Cheeseboro parking lot. A temporary parking lot is available off Chesebro Road. Access to trails will continue. Heed all signs!",2023-01-09 12:17:10.0,Santa Monica Mountains National Recreation Area
Darrah Hall Rehabilitation Project,reer,"In 2023, the park will be engaged in rehabilitation work at Darrah Hall. We plan to keep the facility open for its regular hours of operation, but visitors should be aware of potential construction work around the site.",2023-01-20 17:07:16.0,Reconstruction Era National Historical Park
Current Masking Requirements,reer,"If the CDC COVID-19 Community Level for Beaufort County, SC is ""High"", masks will be required in all park buildings. Please visit the CDC website for current Community Levels",2022-08-01 14:46:35.0,Reconstruction Era National Historical Park
Building Closures - Historic Preservation,hofu,"There are a few projects underway. From time to time this may require that we close certain areas or structures for the protection of our staff, visitors, and park resources. We appreciate your understanding while we perform this critical work.",2023-01-20 12:32:00.0,Hopewell Furnace National Historic Site
Winter Hours,hofu,"Hopewell Furnace roads, visitor center and historic village are open Wednesday through Sunday from 9:00am to 5:00pm and closed Monday and Tuesday from October 17, 2022 until Memorial Day Monday May 29, 2023.",2022-10-08 11:39:01.0,Hopewell Furnace National Historic Site
Current Visiting Requirements,sahi,"Tours of the Roosevelt Home are offered Thursday-Sunday and are by advanced reservation only. Masks are not required, but you may choose to wear one. Old Orchard Museum is open Thursday-Sunday from 11:00am-4:00pm. Grounds open daily sunrise-sunset.",2023-01-20 11:33:28.0,Sagamore Hill National Historic Site
