Park Name,parkCode,Description,Directions,Address
Tupelo National Battlefield,tupe,"In July, 1864, Union forces, including men from the United States Colored Troops, marched into Tupelo, Mississippi. Disorganized Confederate soldiers fought fiercely but could not overpower the federal troops. Neither side could claim a clear victory, but Union troops had succeeded in their main goal: keeping the Confederates away from Union railroads in Tennessee.","Tupelo National Battlefield (NB) is a one-acre monument located on Main Street, Tupelo, Mississippi. Main Street in Tupelo is also known as Highway 6 and Highway 278. Tupelo NB sits on the south side of Main Street on the west side of Tupelo. Exit off the Natchez Trace Parkway onto Highway 6 (near Milepost 260), head east, into Tupelo. Travel one mile east and find Tupelo NB on the right side of Main Street. There is limited parking available adjacent to the monument.","2083 Main St, , , Tupelo, MS, 38801"
Tuskegee Airmen National Historic Site,tuai,"Before the first African American military pilots became known as the ""Red Tails"" they wore striped tails as they began their flight training in the Army's PT-17 Stearman bi-plane. Their flying adventure started at Moton Field, in Tuskegee, Alabama, where the Army Air Corps conducted a military test to determine if African Americans could be trained to fly combat aircraft.","To reach Tuskegee Airmen National Historic Site... From Atlanta, GA - Take I-85S towards Montgomery, AL for approximately 127 miles to Exit 38. Turn left at the stop sign and travel 1/2 mile and turn left on Chappie James Ave. Follow the signs to the Parking Area on left. Follow the path downhill to the Historic Site. From Montgomery, AL - Take I-85N towards Atlanta, GA for approximately 36 miles to Exit 38. Turn right at the stop sign and travel 1/2 mile and turn left on Chappie James Ave.","1616 Chappie James Ave., , , Tuskegee, AL, 36083"
Tuskegee Institute National Historic Site,tuin,"In 1881, Booker T. Washington arrived in Alabama and started building Tuskegee Institute both in reputation and literally brick by brick. He recruited the best and the brightest to come and teach here including George Washington Carver who arrived in 1896. Carver’s innovations in agriculture, especially with peanuts, expanded Tuskegee’s standing throughout the country. The story continues….","From Atlanta - Follow I-85S towards Montgomery, AL Take Exit 32 and turn left on the overpass onto Pleasant Springs Dr. Travel approximately 2 miles and turn left on Franklin Rd. (Co. Rd. 30). Follow Franklin Rd. for 3 miles to the traffic light. Park headquarters on the left corner..","1212 West Montgomery Road, , , Tuskegee Institute, AL, 36088"
Tuzigoot National Monument,tuzi,"Water flows under and through this landscape, feeding the growth of people and towns. The Verde Valley is watered by snowmelt, summer monsoons, and springs that well up from the ancient sedimentary rocks. In the heart of the valley, a thousand years ago, people began to build a little hilltop pueblo that would grow into one of the largest villages in the area.","From Phoenix or Flagstaff, take I-17 to exit 287, and then travel west on Highway 260 to Cottonwood. Once in Cottonwood, travel north through the town on Main Street. Just before entering the town of Clarkdale you will see signs directing visitors to the right, to Tuzigoot Rd.","25 Tuzigoot Rd, , , Clarkdale, AZ, 86324"
Ulysses S Grant National Historic Site,ulsg,"Ulysses S. Grant is known as the victorious Civil War general who saved the Union and the 18th President of the United States. He first met Julia Dent, his future wife, at her family home, named White Haven. From 1854 to 1859 the Dents, Grants and an enslaved African-American workforce lived on the property.","Ulysses S. Grant is located in south St. Louis County on Grant Road, near Gravois Road to the south. Watson Road is to the north, I-270 is to the west, and Laclede Station Road is to the east.","7400 Grant Road, , , St. Louis, MO, 63123"
Upper Delaware Scenic & Recreational River,upde,"Canoe through rapids and quiet pools as the Delaware River winds its way through a valley of swiftly changing scenery or fish amid rolling hills and riverfront villages in one of the finest fishing rivers in the northeastern United States. The clean water of the Delaware, the last major undammed river in the eastern United States, supports a healthy ecosystem and offers tranquility and excitement.",See complete directions on Upper Delaware S&RR's webpage.,"274 River Road, , , Beach Lake, PA, 18405"
Valles Caldera National Preserve,vall,"About 1.25 million years ago, a spectacular volcanic eruption created the 13-mile wide circular depression now known as the Valles Caldera. The preserve is known for its huge mountain meadows, abundant wildlife, and meandering streams. The area also preserves the homeland of ancestral native peoples and embraces a rich ranching history.","From Jemez Springs, NM: Follow NM-4 north. The Preserve is about 22 miles from Jemez Springs. Look for the Main Gate and signs at Mile Marker 39.2. From Los Alamos, NM: Take Trinity Drive to Diamond. Take a left on Diamond, then a right on West Jemez Road to the intersection with NM-4. Take a right [away from Bandelier National Monument], following the highway up and into the Jemez Mountains. The Preserve is 18 miles up NM-4 from Los Alamos. Look for the Main Gate and signs at Mile Marker 39.2.","39201 New Mexico Highway 4, , , Jemez Springs, NM, 87025"
Valley Forge National Historical Park,vafo,"Valley Forge is the encampment site of the Continental Army during the winter of 1777-1778. The park features 3,500 acres of monuments, meadows, and woodlands commemorating the sacrifices and perseverance of the Revolutionary War generation and honoring the power of people to pull together and overcome adversity during extraordinary times.","The park is conveniently located off of U.S. Route 422. The main entrance to the park is at the intersection of State Route 23 and North Gulph Road. From the Pennsylvania Turnpike, take Exit 326. From Interstate I-76, take Route 422 West to Route 23 West/Valley Forge. From State Route 252, take State Route 23 East.","1400 North Outer Line Drive, , , King of Prussia, PA, 19406"
Vanderbilt Mansion National Historic Site,vama,Built by of one of the first families of wealth in America. Designed by one of the nation's preeminent architects. The Vanderbilt Mansion is a home built expressly for the aristocratic lifestyle.,"Vanderbilt Mansion National Historic Site is located on Route 9 in the town of Hyde Park, New York.","81 Vanderbilt Park Road, , , Hyde Park, NY, 12538"
Vicksburg National Military Park,vick,"To Confederate President Jefferson Davis, Vicksburg was the ""nailhead that holds the South's two halves together."" President Abraham Lincoln remarked ""Vicksburg is the key"" to victory, and could be the north's lifeline into the south. As the federals closed in on the Fortress City, they were met by a ring of forts with over 170 cannon. The resulting battle would determine the war's outcome.","Plane — Closest commercial airport: Jackson, MS, 50 miles to the east. Car — Directions to Vicksburg: From the east — Take Interstate 20 west to Vicksburg, MS. Use exit ramp 4B. Follow Clay Street (US-80) west 0.25 miles to park entrance. From the north — Take Interstate 55 south to Jackson, MS. To save time, use Interstate 220 bypass on west side of Jackson. Take Interstate 20 west to Vicksburg approximately 40 miles. Use exit ramp 4B. Follow Clay Street (US-80) west 0.25 miles to park entrance.","3201 Clay Street, , , Vicksburg, MS, 39183"
Vietnam Veterans Memorial,vive,"Honoring the men and women who served in the controversial Vietnam War, the Vietnam Veterans Memorial chronologically lists the names of 58,318 Americans who gave their lives in service to their country.","GPS Coordinates: 38.891112, -77.047626 Address: 5 Henry Bacon Drive NW, Washington, D.C. Nearest Intersection: Henry Bacon Drive & Constitution Ave. NW","5 Henry Bacon Drive NW, , , Washington, DC, 20002"
